phase,elapsed_ms,raw,voltage_mv
fast,2,1308,6363
fast,6,1308,6363
fast,16,1307,6357
fast,26,1309,6363
fast,36,1311,6375
fast,46,1311,6375
fast,56,1311,6375
fast,66,1310,6369
fast,76,1311,6375
fast,86,1311,6375
fast,96,1312,6381
fast,106,1314,6392
fast,116,1310,6369
fast,126,1312,6381
fast,136,1311,6375
fast,146,1316,6398
fast,156,1311,6375
fast,166,1315,6392
fast,176,1315,6392
fast,186,1315,6392
fast,196,1315,6392
fast,206,1311,6375
fast,216,1315,6392
fast,226,1317,6404
fast,236,1311,6375
fast,246,1312,6381
fast,256,1311,6375
fast,266,1311,6375
fast,276,1311,6375
fast,286,1315,6392
fast,296,1316,6398
fast,306,1308,6363
fast,316,1309,6363
fast,326,1311,6375
fast,336,1311,6375
fast,346,1315,6392
fast,356,1311,6375
fast,366,1316,6398
fast,376,1316,6398
fast,386,1315,6392
fast,396,1311,6375
fast,406,1315,6392
fast,416,1310,6369
fast,426,1311,6375
fast,436,1315,6392
fast,446,1315,6392
fast,456,1311,6375
fast,466,1311,6375
fast,476,1311,6375
fast,487,1310,6369
fast,496,1310,6369
fast,506,1311,6375
fast,516,1311,6375
fast,526,1312,6381
fast,536,1315,6392
fast,546,1311,6375
fast,556,1317,6404
fast,566,1311,6375
fast,576,1315,6392
fast,586,1315,6392
fast,596,1311,6375
fast,606,1316,6398
fast,616,1315,6392
fast,626,1316,6398
fast,636,1316,6398
fast,646,1312,6381
fast,656,1312,6381
fast,666,1311,6375
fast,676,1311,6375
fast,686,1311,6375
fast,696,1312,6381
fast,706,1311,6375
fast,716,1311,6375
fast,726,1317,6404
fast,736,1311,6375
fast,746,1310,6369
fast,756,1312,6381
fast,766,1311,6375
fast,776,1311,6375
fast,786,1315,6392
fast,796,1315,6392
fast,806,1315,6392
fast,816,1309,6363
fast,826,1311,6375
fast,836,1309,6363
fast,846,1314,6392
fast,856,1311,6375
fast,866,1244,6052
fast,876,1311,6375
fast,886,1311,6375
fast,896,1311,6375
fast,906,1312,6381
fast,916,1311,6375
fast,926,1311,6375
fast,936,1315,6392
fast,946,1315,6392
fast,956,1311,6375
fast,966,1315,6392
fast,976,1309,6363
fast,987,1309,6363
fast,996,1309,6363
fast,1006,1316,6398
fast,1016,1312,6381
fast,1026,1311,6375
fast,1036,1315,6392
fast,1046,1312,6381
fast,1056,1310,6369
fast,1066,1311,6375
fast,1076,1307,6357
fast,1086,1309,6363
fast,1096,1315,6392
fast,1106,1315,6392
fast,1116,1309,6363
fast,1126,1309,6363
fast,1136,1310,6369
fast,1146,1311,6375
fast,1156,1311,6375
fast,1166,1315,6392
fast,1176,1311,6375
fast,1186,1316,6398
fast,1196,1309,6363
fast,1206,1309,6363
fast,1216,1310,6369
fast,1226,1315,6392
fast,1236,1310,6369
fast,1246,1307,6357
fast,1256,1308,6363
